strain	sex	animal_id	age	body_weight_g	IGF1_ng-mL
MOLF/EiJ	f	0006ca2e46	6	9.9	176
WSB/EiJ	f	00069a1be1	6	12.2	110
MOLF/EiJ	f	0006ca2388	6	12.8	210
MOLF/EiJ	f	0006ca6232	6	12.8	215
MOLF/EiJ	f	0006ca7d82	6	12.8	248
MOLF/EiJ	m	0006ca463f	6	12.8	281
MOLF/EiJ	m	0006ca55a6	6	13.2	248
MOLF/EiJ	f	0006ca4e81	6	13.6	296
WSB/EiJ	f	000699ffc5	12	13.7	179
MOLF/EiJ	m	0006ca7c66	6	13.8	199
WSB/EiJ	f	SC-5425	6	13.9	244
MOLF/EiJ	m	0006ca55a1	6	14	215
WSB/EiJ	f	00069A2819	6	14	232
WSB/EiJ	f	000699F870	6	14.1	251
WSB/EiJ	f	00069a10cb	6	14.1	130
CAST/EiJ	f	00068CD826	12	14.1	343
CAST/EiJ	f	00069a17a3	6	14.2	361
MOLF/EiJ	m	0006ca428c	6	14.2	189
MOLF/EiJ	m	0006ca8593	6	14.2	243
Pohn/Deh	f	SC-9618	6	14.2	287
CAST/EiJ	f	00068D210A	12	14.3	369
CAST/EiJ	f	00069a0297	6	14.4	293
CAST/EiJ	f	00068CE182	12	14.4	432
WSB/EiJ	f	00069a2ddd	12	14.4	243
CAST/EiJ	f	00069a2c9d	18	14.4	356
CAST/EiJ	f	00068CFC12	12	14.5	315
MOLF/EiJ	f	0006ca48f8	6	14.6	300
CAST/EiJ	f	000699f644	6	14.7	308
CAST/EiJ	f	00069a026d	6	14.7	287
Pohn/Deh	f	SC-9617	6	14.7	278
WSB/EiJ	f	00069A1265	6	14.7	228
Pohn/Deh	f	SC-9616	6	14.8	295
WSB/EiJ	f	00069A293F	6	14.8	251
CAST/EiJ	m	SC-9073	6	15.1	386
Pohn/Deh	f	SC-9609	6	15.2	356
Pohn/Deh	f	SC-9610	6	15.2	335
CAST/EiJ	f	000699f8e2	18	15.2	371
Pohn/Deh	f	SC-9608	6	15.4	373
Pohn/Deh	f	SC-9606	6	15.5	343
WSB/EiJ	f	00069a2ddd	18	15.5	163
CAST/EiJ	f	00069a072e	6	15.7	297
CAST/EiJ	f	00069a1b86	6	15.7	364
WSB/EiJ	f	00069a10cb	12	15.7	188
PWD/PhJ	f	00068D32B8	6	15.8	217
Pohn/Deh	f	SC-9607	6	15.8	317
WSB/EiJ	f	000699ffc5	18	15.8	138
CAST/EiJ	f	00069a22ff	6	15.9	332
SM/J	f	00068D3B73	6	15.9	106
WSB/EiJ	f	000699fcff	6	16	205
WSB/EiJ	f	00069a1be1	12	16	264
SJL/J	f	00068AFA64	18	16.2	264
WSB/EiJ	f	00069a2c95	12	16.3	275
PWD/PhJ	f	00068CE75F	6	16.4	331
CAST/EiJ	m	SC-9238	6	16.7	368
RIIIS/J	f	00068CD627	18	17	160
PWD/PhJ	f	00068CEAB4	6	17.1	358
WSB/EiJ	f	00069a16f6	12	17.1	255
PWD/PhJ	f	00068D32B8	12	17.2	286
PWD/PhJ	f	00068CF842	6	17.3	396
PWD/PhJ	f	00068CFC09	6	17.3	303
RIIIS/J	f	00068CFEC2	18	17.3	160
WSB/EiJ	m	SC-9499	6	17.4	234
SM/J	f	00068CF4F2	6	17.5	175
RIIIS/J	f	00068CD627	12	17.6	182
CAST/EiJ	m	SC-9071	6	17.7	411
WSB/EiJ	m	SC-9494	6	17.8	216
WSB/EiJ	f	00069a2c95	18	18	228
WSB/EiJ	m	00069a18d6	18	18	219
C57BL/10J	f	00068B0E8F	18	18.2	139
PWD/PhJ	f	00068D0217	6	18.3	280
SJL/J	m	00069a2c93	18	18.3	223
LP/J	f	000699f86f	6	18.4	228
WSB/EiJ	f	000699fcff	12	18.4	273
LP/J	f	00069a0d06	6	18.5	208
SM/J	f	00068D4B93	6	18.5	212
C57BL/10J	f	00068AFEB2	18	18.6	220
WSB/EiJ	f	00069a0866	12	18.7	267
