strain	sex	animal_id	age	percent_MME	urine_albumin_ug-dL	urine_creatinine_mg-dL	urine_ACR
129S1/SvImJ	m	06-11302	20	8	NA	NA	NA
129S1/SvImJ	m	06-11303	20	4	NA	NA	NA
129S1/SvImJ	m	06-11304	20	8	NA	NA	NA
129S1/SvImJ	m	07-09126	20	4	NA	NA	NA
129S1/SvImJ	m	07-09129	20	2	NA	NA	NA
129S1/SvImJ	m	07-09131	20	8	NA	NA	NA
A/J	m	07-09112	12	0	NA	NA	NA
A/J	m	07-09113	12	0	NA	NA	NA
A/J	m	07-09124	12	0	NA	NA	NA
A/J	m	07-09125	12	2	NA	NA	NA
A/J	m	07-09174	12	2	NA	NA	NA
A/J	m	07-09177	12	2	NA	NA	NA
AKR/J	m	6950	6	24	NA	NA	NA
AKR/J	m	6951	6	6	NA	NA	NA
AKR/J	m	6952	6	10	NA	NA	NA
AKR/J	m	6953	6	34	NA	NA	NA
AKR/J	m	6954	6	12	NA	NA	NA
AKR/J	m	6955	6	14	NA	NA	NA
AKR/J	m	06-11654	12	22	NA	NA	NA
AKR/J	m	06-11655	12	36	NA	NA	NA
AKR/J	m	06-11656	12	32	NA	NA	NA
AKR/J	m	06-11658	12	32	NA	NA	NA
AKR/J	m	06-11659	12	34	NA	NA	NA
AKR/J	m	06-11660	12	20	NA	NA	NA
BALB/cByJ	m	07-09376	12	8	NA	NA	NA
BALB/cByJ	m	07-09377	12	6	NA	NA	NA
BALB/cByJ	m	07-09378	12	10	NA	NA	NA
BALB/cByJ	m	07-09387	12	0	NA	NA	NA
BALB/cByJ	m	07-09389	12	8	NA	NA	NA
BALB/cByJ	m	07-09434	12	6	NA	NA	NA
BALB/cByJ	m	06-10174	20	12	NA	NA	NA
BALB/cByJ	m	06-10175	20	46	NA	NA	NA
BALB/cByJ	m	06-10176	20	6	NA	NA	NA
BALB/cByJ	m	06-10177	20	12	NA	NA	NA
BALB/cByJ	m	06-10179	20	6	NA	NA	NA
BALB/cByJ	m	06-10180	20	8	NA	NA	NA
BTBR T+ tf/J	m	07-09405	12	0	NA	NA	NA
BTBR T+ tf/J	m	07-09407	12	2	NA	NA	NA
BTBR T+ tf/J	m	07-09412	12	4	NA	NA	NA
BTBR T+ tf/J	m	07-09414	12	4	NA	NA	NA
BTBR T+ tf/J	m	07-09415	12	4	NA	NA	NA
BTBR T+ tf/J	m	07-09416	12	2	NA	NA	NA
BTBR T+ tf/J	m	06-10228	20	10	NA	NA	NA
BTBR T+ tf/J	m	06-10229	20	14	NA	NA	NA
BTBR T+ tf/J	m	06-10230	20	8	NA	NA	NA
BTBR T+ tf/J	m	06-10231	20	10	NA	NA	NA
BTBR T+ tf/J	m	06-11159	20	8	NA	NA	NA
BTBR T+ tf/J	m	06-11160	20	4	NA	NA	NA
BUB/BnJ	m	07-09673	12	0	NA	NA	NA
BUB/BnJ	m	07-09675	12	6	NA	NA	NA
BUB/BnJ	m	07-09676	12	0	NA	NA	NA
BUB/BnJ	m	07-09788	12	4	NA	NA	NA
BUB/BnJ	m	07-10013	12	4	NA	NA	NA
BUB/BnJ	m	07-10014	12	2	NA	NA	NA
BUB/BnJ	m	06-11164	20	12	NA	NA	NA
BUB/BnJ	m	07-09103	20	58	NA	NA	NA
C3H/HeJ	m	06-10325	20	4	NA	NA	NA
C3H/HeJ	m	06-10326	20	4	NA	NA	NA
C3H/HeJ	m	06-10328	20	6	NA	NA	NA
C3H/HeJ	m	06-10331	20	2	NA	NA	NA
C3H/HeJ	m	06-10333	20	8	NA	NA	NA
C3H/HeJ	m	06-10334	20	2	NA	NA	NA
C57BL/10J	m	07-09468	12	14	NA	NA	NA
C57BL/10J	m	07-09479	12	6	NA	NA	NA
C57BL/10J	m	07-09480	12	2	NA	NA	NA
C57BL/10J	m	07-09481	12	4	NA	NA	NA
C57BL/10J	m	07-09677	12	4	NA	NA	NA
C57BL/10J	m	07-09678	12	4	NA	NA	NA
C57BL/10J	m	06-10304	20	18	NA	NA	NA
C57BL/10J	m	06-10305	20	54	NA	NA	NA
C57BL/10J	m	06-10307	20	34	NA	NA	NA
C57BL/10J	m	06-10309	20	22	NA	NA	NA
C57BL/10J	m	06-10310	20	6	NA	NA	NA
C57BL/10J	m	06-10311	20	2	NA	NA	NA
C57BL/6J	m	07-09568	12	8	NA	NA	NA
C57BL/6J	m	07-09569	12	12	NA	NA	NA
C57BL/6J	m	07-09570	12	4	NA	NA	NA
C57BL/6J	m	07-09572	12	2	NA	NA	NA
C57BL/6J	m	07-09574	12	0	NA	NA	NA
C57BL/6J	m	07-09575	12	4	NA	NA	NA
C57BL/6J	m	06-10515	20	16	NA	NA	NA
C57BL/6J	m	06-10516	20	26	NA	NA	NA
C57BL/6J	m	06-10517	20	32	NA	NA	NA
C57BL/6J	m	06-10532	20	0	NA	NA	NA
C57BL/6J	m	06-10533	20	12	NA	NA	NA
C57BL/6J	m	06-10534	20	8	NA	NA	NA
C57BLKS/J	m	06-10522	20	10	NA	NA	NA
C57BLKS/J	m	06-10523	20	6	NA	NA	NA
C57BLKS/J	m	06-10524	20	10	NA	NA	NA
C57BLKS/J	m	06-10525	20	6	NA	NA	NA
C57BLKS/J	m	06-10526	20	2	NA	NA	NA
C57BLKS/J	m	06-10527	20	6	NA	NA	NA
C57BR/cdJ	m	7449	6	4	NA	NA	NA
C57BR/cdJ	m	7450	6	2	NA	NA	NA
C57BR/cdJ	m	7451	6	8	NA	NA	NA
C57BR/cdJ	m	7452	6	0	NA	NA	NA
C57BR/cdJ	m	7453	6	0	NA	NA	NA
C57BR/cdJ	m	7454	6	12	NA	NA	NA
C57BR/cdJ	m	07-09419	12	6	NA	NA	NA
C57BR/cdJ	m	07-09420	12	16	NA	NA	NA
C57BR/cdJ	m	07-09524	12	22	NA	NA	NA
C57BR/cdJ	m	07-09591	12	12	NA	NA	NA
C57BR/cdJ	m	07-09597	12	0	NA	NA	NA
C57BR/cdJ	m	07-09598	12	10	NA	NA	NA
C57BR/cdJ	m	06-10706	20	80	NA	NA	NA
C57BR/cdJ	m	06-10707	20	36	NA	NA	NA
C57BR/cdJ	m	06-10708	20	12	NA	NA	NA
C57BR/cdJ	m	06-10709	20	38	NA	NA	NA
C57BR/cdJ	m	06-10718	20	18	NA	NA	NA
C57BR/cdJ	m	06-10720	20	20	NA	NA	NA
C57L/J	m	07-09304	12	4	NA	NA	NA
C57L/J	m	07-09306	12	14	NA	NA	NA
C57L/J	m	07-09307	12	2	NA	NA	NA
C57L/J	m	07-09326	12	0	NA	NA	NA
C57L/J	m	07-09327	12	4	NA	NA	NA
C57L/J	m	07-09329	12	4	NA	NA	NA
C57L/J	m	06-10183	20	4	NA	NA	NA
C57L/J	m	06-10184	20	6	NA	NA	NA
C57L/J	m	06-10185	20	20	NA	NA	NA
C57L/J	m	06-10186	20	10	NA	NA	NA
C57L/J	m	06-10187	20	8	NA	NA	NA
C57L/J	m	06-10188	20	6	NA	NA	NA
CBA/J	m	07-09254	12	4	NA	NA	NA
CBA/J	m	07-09255	12	2	NA	NA	NA
CBA/J	m	07-09257	12	6	NA	NA	NA
CBA/J	m	07-09283	12	4	NA	NA	NA
CBA/J	m	07-09284	12	0	NA	NA	NA
CBA/J	m	07-09285	12	4	NA	NA	NA
CBA/J	m	06-10232	20	14	NA	NA	NA
CBA/J	m	06-10233	20	12	NA	NA	NA
CBA/J	m	06-10234	20	12	NA	NA	NA
CBA/J	m	06-10235	20	14	NA	NA	NA
CBA/J	m	06-10236	20	8	NA	NA	NA
CBA/J	m	06-10239	20	4	NA	NA	NA
DBA/2J	m	06-10712	20	4	NA	NA	NA
DBA/2J	m	06-10713	20	6	NA	NA	NA
DBA/2J	m	06-10714	20	12	NA	NA	NA
DBA/2J	m	06-10715	20	10	NA	NA	NA
DBA/2J	m	07-09421	20	8	NA	NA	NA
DBA/2J	m	07-09422	20	0	NA	NA	NA
FVB/NJ	m	07-09251	12	0	NA	NA	NA
FVB/NJ	m	07-09252	12	8	NA	NA	NA
FVB/NJ	m	07-09253	12	0	NA	NA	NA
FVB/NJ	m	07-09790	12	0	NA	NA	NA
FVB/NJ	m	07-09791	12	2	NA	NA	NA
FVB/NJ	m	07-09845	12	2	NA	NA	NA
FVB/NJ	m	06-10251	20	4	NA	NA	NA
FVB/NJ	m	06-10252	20	10	NA	NA	NA
FVB/NJ	m	06-10253	20	6	NA	NA	NA
FVB/NJ	m	06-11161	20	8	NA	NA	NA
FVB/NJ	m	06-11162	20	12	NA	NA	NA
FVB/NJ	m	06-11173	20	12	NA	NA	NA
KK/HlJ	m	7550	6	0	NA	NA	NA
KK/HlJ	m	7551	6	10	NA	NA	NA
KK/HlJ	m	7553	6	2	NA	NA	NA
KK/HlJ	m	7554	6	16	NA	NA	NA
KK/HlJ	m	7555	6	10	NA	NA	NA
KK/HlJ	m	7556	6	4	NA	NA	NA
KK/HlJ	m	07-09943	12	10	NA	NA	NA
KK/HlJ	m	07-09988	12	4	NA	NA	NA
KK/HlJ	m	07-09989	12	4.3	NA	NA	NA
KK/HlJ	m	07-09990	12	10	NA	NA	NA
KK/HlJ	m	07-10122	12	18	NA	NA	NA
KK/HlJ	m	07-10125	12	4	NA	NA	NA
KK/HlJ	m	06-10336	20	56	NA	NA	NA
KK/HlJ	m	06-10337	20	26	NA	NA	NA
KK/HlJ	m	07-09106	20	14	NA	NA	NA
KK/HlJ	m	07-09107	20	46	NA	NA	NA
KK/HlJ	m	07-09108	20	52	NA	NA	NA
KK/HlJ	m	07-09110	20	14	NA	NA	NA
LP/J	m	06-10266	20	2	NA	NA	NA
LP/J	m	06-10267	20	0	NA	NA	NA
LP/J	m	06-10268	20	0	NA	NA	NA
LP/J	m	06-10269	20	0	NA	NA	NA
LP/J	m	06-10270	20	0	NA	NA	NA
LP/J	m	06-10271	20	0	NA	NA	NA
MRL/MpJ	m	07-09310	12	6	NA	NA	NA
MRL/MpJ	m	07-09311	12	4	NA	NA	NA
MRL/MpJ	m	07-09312	12	8	NA	NA	NA
MRL/MpJ	m	07-09313	12	2	NA	NA	NA
MRL/MpJ	m	07-09317	12	8	NA	NA	NA
MRL/MpJ	m	07-09318	12	10	NA	NA	NA
MRL/MpJ	m	06-09919	20	36	NA	NA	NA
MRL/MpJ	m	06-09920	20	30	NA	NA	NA
MRL/MpJ	m	06-09921	20	26	NA	NA	NA
MRL/MpJ	m	06-09922	20	14	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09784	12	0	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09785	12	4	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09818	12	12	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09821	12	14	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10109	12	16	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10111	12	10	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09894	20	34	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09980	20	46	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09981	20	40	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10028	20	32	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10107	20	34	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10108	20	24	NA	NA	NA
NON/ShiLtJ	m	07-09826	12	8	NA	NA	NA
NON/ShiLtJ	m	07-09827	12	4	NA	NA	NA
NON/ShiLtJ	m	07-09828	12	6	NA	NA	NA
NON/ShiLtJ	m	07-10126	12	4	NA	NA	NA
NON/ShiLtJ	m	07-10127	12	10	NA	NA	NA
NON/ShiLtJ	m	07-10129	12	8	NA	NA	NA
NON/ShiLtJ	m	06-10716	20	8	NA	NA	NA
NON/ShiLtJ	m	06-10717	20	12	NA	NA	NA
NON/ShiLtJ	m	06-11221	20	16	NA	NA	NA
NON/ShiLtJ	m	06-11222	20	2	NA	NA	NA
NON/ShiLtJ	m	06-11223	20	22	NA	NA	NA
NON/ShiLtJ	m	07-09183	20	4	NA	NA	NA
NZO/HlLtJ	m	7349	6	4	NA	NA	NA
NZO/HlLtJ	m	7350	6	16	NA	NA	NA
NZO/HlLtJ	m	7351	6	20	NA	NA	NA
NZO/HlLtJ	m	7352	6	6	NA	NA	NA
NZO/HlLtJ	m	7353	6	6	NA	NA	NA
NZO/HlLtJ	m	7354	6	6	NA	NA	NA
NZO/HlLtJ	m	07-09831	12	14	NA	NA	NA
NZO/HlLtJ	m	07-09832	12	12	NA	NA	NA
NZO/HlLtJ	m	07-09833	12	22	NA	NA	NA
NZO/HlLtJ	m	07-09834	12	42	NA	NA	NA
NZO/HlLtJ	m	07-09835	12	16	NA	NA	NA
