age	qx	lx	dx	Lx	Tx	ex
0	0.006058	100000	606	99470	7870915	78.7
1	0.000415	99394	41	99374	7771445	78.2
2	0.000264	99353	26	99340	7672071	77.2
3	0.000208	99327	21	99316	7572731	76.2
4	0.000167	99306	17	99298	7473415	75.3
5	0.000151	99289	15	99282	7374117	74.3
6	0.000134	99274	13	99268	7274835	73.3
7	0.00012	99261	12	99255	7175567	72.3
8	0.000106	99249	11	99244	7076312	71.3
9	0.000092	99239	9	99234	6977068	70.3
10	0.000084	99230	8	99225	6877834	69.3
11	0.00009	99221	9	99217	6778609	68.3
12	0.000117	99212	12	99207	6679392	67.3
13	0.000172	99201	17	99192	6580185	66.3
14	0.000246	99184	24	99171	6480993	65.3
15	0.000326	99159	32	99143	6381822	64.4
16	0.000404	99127	40	99107	6282679	63.4
17	0.000486	99087	48	99063	6183572	62.4
18	0.00057	99039	56	99011	6084509	61.4
19	0.000655	98982	65	98950	5985499	60.5
20	0.000743	98917	73	98881	5886549	59.5
21	0.000826	98844	82	98803	5787668	58.6
22	0.000886	98762	88	98719	5688865	57.6
23	0.000919	98675	91	98630	5590146	56.7
24	0.00093	98584	92	98538	5491517	55.7
25	0.000934	98493	92	98447	5392978	54.8
26	0.000943	98400	93	98354	5294532	53.8
27	0.000958	98308	94	98261	5196178	52.9
28	0.000983	98214	96	98165	5097917	51.9
29	0.001016	98117	100	98067	4999752	51
30	0.001055	98017	103	97966	4901685	50
31	0.001094	97914	107	97860	4803719	49.1
32	0.001132	97807	111	97751	4705859	48.1
33	0.001167	97696	114	97639	4608107	47.2
34	0.001203	97582	117	97523	4510468	46.2
35	0.00125	97465	122	97404	4412945	45.3
36	0.001313	97343	128	97279	4315541	44.3
37	0.001389	97215	135	97148	4218262	43.4
38	0.001476	97080	143	97008	4121114	42.5
39	0.001576	96937	153	96860	4024106	41.5
40	0.001685	96784	163	96702	3927245	40.6
41	0.001813	96621	175	96533	3830543	39.6
42	0.001972	96446	190	96351	3734009	38.7
43	0.002171	96256	209	96151	3637659	37.8
44	0.002405	96047	231	95931	3541508	36.9
45	0.002652	95816	254	95688	3445577	36
46	0.00291	95561	278	95422	3349888	35.1
47	0.003196	95283	305	95131	3254466	34.2
48	0.003513	94979	334	94812	3159335	33.3
49	0.003851	94645	364	94463	3064523	32.4
50	0.004204	94281	396	94083	2970060	31.5
51	0.004563	93884	428	93670	2875977	30.6
52	0.004928	93456	461	93226	2782307	29.8
53	0.005304	92995	493	92749	2689081	28.9
54	0.005702	92502	527	92238	2596332	28.1
55	0.006131	91975	564	91693	2504094	27.2
56	0.006596	91411	603	91109	2412401	26.4
57	0.007096	90808	644	90486	2321292	25.6
58	0.007621	90164	687	89820	2230806	24.7
59	0.008164	89476	730	89111	2140986	23.9
60	0.008732	88746	775	88359	2051875	23.1
61	0.009335	87971	821	87560	1963516	22.3
62	0.009983	87150	870	86715	1875956	21.5
63	0.010715	86280	924	85818	1789241	20.7
64	0.011568	85355	987	84862	1703423	20
65	0.012586	84368	"1,062"	83837	1618562	19.2
66	0.013763	83306	"1,147"	82733	1534725	18.4
67	0.015057	82160	"1,237"	81541	1451992	17.7
68	0.01638	80923	"1,326"	80260	1370451	16.9
69	0.017756	79597	"1,413"	78890	1290191	16.2
70	0.019299	78184	"1,509"	77429	1211301	15.5
71	0.021039	76675	"1,613"	75868	1133871	14.8
72	0.022997	75062	"1,726"	74199	1058003	14.1
73	0.025182	73335	"1,847"	72412	983805	13.4
74	0.027634	71489	"1,975"	70501	911392	12.7
75	0.030322	69513	"2,108"	68459	840892	12.1
76	0.033309	67405	"2,245"	66283	772432	11.5
77	0.03674	65160	"2,394"	63963	706149	10.8
78	0.040688	62766	"2,554"	61489	642186	10.2
79	0.045172	60212	"2,720"	58852	580697	9.6
80	0.050072	57493	"2,879"	56053	521844	9.1
81	0.055306	54614	"3,020"	53103	465791	8.5
82	0.061241	51593	"3,160"	50013	412688	8
83	0.067893	48434	"3,288"	46789	362674	7.5
84	0.075594	45145	"3,413"	43439	315885	7
85	0.084649	41733	"3,533"	39966	272446	6.5
86	0.094437	38200	"3,607"	36396	232480	6.1
87	0.105152	34593	"3,637"	32774	196083	5.7
88	0.116835	30955	"3,617"	29147	163309	5.3
89	0.129516	27338	"3,541"	25568	134163	4.9
90	0.143215	23798	"3,408"	22094	108595	4.6
91	0.157937	20389	"3,220"	18779	86501	4.2
92	0.173671	17169	"2,982"	15678	67722	3.9
93	0.190385	14187	"2,701"	12837	52043	3.7
94	0.208029	11486	"2,389"	10292	39207	3.4
95	0.226531	9097	"2,061"	8066	28915	3.2
96	0.245796	7036	"1,729"	6171	20849	3
97	0.265711	5307	"1,410"	4602	14677	2.8
98	0.286142	3897	"1,115"	3339	10075	2.6
99	0.306941	2782	854	2355	6736	2.4
100	1	1928	"1,928"	4382	4382	2.3
