strain	sex	animal_id	age	gait_score
129S1/SvImJ	f	00068AF233	6	2
129S1/SvImJ	f	00068AF6D7	6	3
129S1/SvImJ	f	00068AFC4F	6	3
129S1/SvImJ	f	00068B0443	6	3
129S1/SvImJ	f	00068B0CE6	6	3
129S1/SvImJ	f	00068B1641	6	3
129S1/SvImJ	f	00068B1CAD	6	3
129S1/SvImJ	f	00068B27AB	6	3
129S1/SvImJ	m	00069A1C1F	6	2
129S1/SvImJ	m	00069a0687	6	2
129S1/SvImJ	m	00068CE6BB	6	3
129S1/SvImJ	m	00068CF496	6	3
129S1/SvImJ	m	00068CFF5C	6	3
129S1/SvImJ	m	00069A02E5	6	3
129S1/SvImJ	m	00069a0692	6	3
129S1/SvImJ	m	00069a2408	6	3
A/J	f	00068B28B8	6	1
A/J	f	00068B07D0	6	2
A/J	f	00068B1801	6	2
A/J	f	00068B1C33	6	2
A/J	f	00068B2C08	6	2
A/J	f	00068AFA4E	6	3
A/J	f	00068B206F	6	3
A/J	f	00068B24B8	6	3
A/J	m	0068cdaa6	6	1
A/J	m	0068d00f2	6	1
A/J	m	0068d0101e	6	1
A/J	m	0068d0417	6	1
A/J	m	0068d37f4	6	1
A/J	m	0068a1fa7	6	2
A/J	m	0068cd75c	6	2
A/J	m	0068ce3cc	6	2
AKR/J	f	00068B0430	6	1
AKR/J	f	00068B043F	6	1
AKR/J	f	00068AF9CD	6	2
AKR/J	f	00068B08C2	6	2
AKR/J	f	00068B23FB	6	3
AKR/J	f	00068B2780	6	3
AKR/J	f	00068B281C	6	3
AKR/J	f	00068B2A31	6	3
AKR/J	m	00068b056l	6	1
AKR/J	m	00068b275l	6	1
AKR/J	m	00068b0518	6	2
AKR/J	m	00068b1022	6	2
AKR/J	m	00068afd8b	6	3
AKR/J	m	00068b02cc	6	3
BALB/cByJ	f	00068B0E4D	6	1
BALB/cByJ	f	00068B0508	6	3
BALB/cByJ	f	00068B0A4C	6	3
BALB/cByJ	f	00068B0D22	6	3
BALB/cByJ	f	00068B1D53	6	3
BALB/cByJ	f	00068B2436	6	3
BALB/cByJ	f	00068B260F	6	3
BALB/cByJ	f	00068B27B1	6	3
BALB/cByJ	m	B 4	6	3
BALB/cByJ	m	B 8	6	3
BALB/cByJ	m	L 3	6	3
BALB/cByJ	m	L 7	6	3
BALB/cByJ	m	N 1	6	3
BALB/cByJ	m	N 5	6	3
BALB/cByJ	m	R 2	6	3
BALB/cByJ	m	R 6	6	3
BTBR T+ tf/J	f	00068AF450	6	3
BTBR T+ tf/J	f	00068AFE43	6	3
BTBR T+ tf/J	f	00068B0285	6	3
BTBR T+ tf/J	f	00068B04DB	6	3
BTBR T+ tf/J	f	00068B0528	6	3
BTBR T+ tf/J	f	00068B1031	6	3
BTBR T+ tf/J	f	00068B1DA8	6	3
BTBR T+ tf/J	f	00068B2737	6	3
BTBR T+ tf/J	m	00068B175E	6	2
BTBR T+ tf/J	m	00068AF557	6	3
BTBR T+ tf/J	m	00068B118E	6	3
BTBR T+ tf/J	m	00068B11F6	6	3
BTBR T+ tf/J	m	00068B1359	6	3
BTBR T+ tf/J	m	00068B14BB	6	3
BTBR T+ tf/J	m	00068B15D9	6	3
BTBR T+ tf/J	m	00068B2428	6	3
BUB/BnJ	f	00068AFA84	6	1
BUB/BnJ	f	00068B0413	6	1
BUB/BnJ	f	00068B05AC	6	1
BUB/BnJ	f	00068B2965	6	1
BUB/BnJ	f	00068B08A0	6	2
BUB/BnJ	f	00068B186E	6	3
BUB/BnJ	f	00068B1907	6	3
BUB/BnJ	f	00068B1E14	6	3
BUB/BnJ	m	00068AF4AE	6	1
BUB/BnJ	m	00068AFCC3	6	1
BUB/BnJ	m	00068B1EC2	6	2
BUB/BnJ	m	00068AF246	6	3
BUB/BnJ	m	00068AF767	6	3
BUB/BnJ	m	00068B0CD2	6	3
C3H/HeJ	f	00068B0291	6	3
C3H/HeJ	f	00068B0303	6	3
C3H/HeJ	f	00068B1E00	6	3
C3H/HeJ	f	00068B1ED4	6	3
