age	qx	lx	dx	Lx	Tx	ex
0	0.005516042	100000	551.604126	99514.03906	8105136.5	81.05136871
1	0.00038244	99448.39844	38.03301239	99429.38281	8005622.5	80.50026703
2	0.000225473	99410.36719	22.41434479	99399.15625	7906193	79.53086853
3	0.000175089	99387.95313	17.40174294	99379.25	7806794	78.54869843
4	0.000150947	99370.55469	14.9997263	99363.05469	7707414.5	77.56235504
5	0.00013192	99355.55469	13.10696411	99349	7608051.5	76.57398987
6	0.000117056	99342.44531	11.62859917	99336.63281	7508702.5	75.58403015
7	0.000105547	99330.82031	10.48411274	99325.57813	7409366	74.59281921
8	9.5852E-05	99320.33594	9.520054817	99315.57813	7310040.5	73.60063934
9	8.8077E-05	99310.8125	8.746999741	99306.4375	7210725	72.60765076
10	8.40868E-05	99302.0625	8.349987984	99297.89063	7111418.5	71.61400604
11	8.72635E-05	99293.71094	8.664719582	99289.375	7012120.5	70.61998749
12	0.000101561	99285.04688	10.08346844	99280	6912831	69.62610626
13	0.000128894	99274.96094	12.7959137	99268.5625	6813551	68.63312531
14	0.000165664	99262.16406	16.44419861	99253.9375	6714282.5	67.64191437
15	0.000206619	99245.71875	20.50601959	99235.46875	6615028.5	66.65303802
16	0.00024703	99225.21094	24.51161575	99212.95313	6515793	65.6667099
17	0.000285593	99200.70313	28.33104706	99186.53906	6416580	64.68280792
18	0.00032009	99172.375	31.74406052	99156.5	6317393.5	63.70114136
19	0.00035122	99140.63281	34.82020569	99123.21875	6218237	62.72137833
20	0.000383598	99105.8125	38.0167923	99086.80469	6119114	61.74324036
21	0.00041649	99067.79688	41.26078796	99047.17188	6020027	60.76673889
22	0.000444701	99026.53906	44.0371666	99004.51563	5920980	59.79185104
23	0.000467144	98982.5	46.23905182	98959.375	5821975.5	58.81822968
24	0.0004862	98936.25781	48.10282135	98912.20313	5723016	57.84548569
25	0.000504543	98888.15625	49.89330673	98863.21094	5624104	56.87338257
26	0.000525958	98838.26563	51.98480225	98812.27344	5525240.5	55.9018364
27	0.000552693	98786.28125	54.59851074	98758.98438	5426428.5	54.93099213
28	0.000586694	98731.67969	57.92524719	98702.71875	5327669.5	53.9610939
29	0.000626557	98673.75781	61.82476807	98642.84375	5228966.5	52.9924736
30	0.000672939	98611.92969	66.35982513	98578.75	5130324	52.02539063
31	0.000721193	98545.57031	71.07038116	98510.03125	5031745	51.06008148
32	0.000765839	98474.5	75.41560364	98436.79688	4933235	50.09657288
33	0.000804632	98399.08594	79.17501831	98359.5	4834798	49.13458252
34	0.000842397	98319.91406	82.82437134	98278.5	4736438.5	48.1737442
35	0.000887842	98237.08594	87.21898651	98193.47656	4638160	47.21393967
36	0.000946694	98149.86719	92.91791534	98103.40625	4539966.5	46.2554512
37	0.001017192	98056.95313	99.74279785	98007.07813	4441863.5	45.29881287
38	0.001099228	97957.21094	107.677269	97903.375	4343856	44.34442139
39	0.001191922	97849.53125	116.6289825	97791.21875	4245953	43.39267731
40	0.001290749	97732.89844	126.1486816	97669.82813	4148161.75	42.44386292
41	0.001401588	97606.75	136.8043976	97538.34375	4050491.75	41.49806976
42	0.00153456	97469.94531	149.5735168	97395.15625	3952953.5	40.55561447
43	0.001694906	97320.375	164.9489136	97237.90625	3855558.25	39.61717606
44	0.001878628	97155.42969	182.5188751	97064.17188	3758320.5	38.68358612
45	0.002070169	96972.91406	200.7502899	96872.53906	3661256.25	37.7554512
46	0.002268268	96772.16406	219.5052032	96662.40625	3564383.75	36.83273697
47	0.002486048	96552.65625	240.0345459	96432.64063	3467721.25	35.91533661
48	0.002724586	96312.625	262.4120483	96181.42188	3371288.75	35.00360107
49	0.002977402	96050.21094	285.980072	95907.21875	3275107.25	34.09786606
50	0.003244593	95764.23438	310.7160034	95608.875	3179200	33.19819641
51	0.003514322	95453.51563	335.4543457	95285.78906	3083591.25	32.30463791
