age	qx	lx	dx	Lx	Tx	ex
0	0.00657534	100000	657.5340576	99427.28906	7629388.5	76.29388428
1	0.000445423	99342.46875	44.24938965	99320.34375	7529961	75.79800415
2	0.000301449	99298.21875	29.93338203	99283.25	7430641	74.83156586
3	0.000239698	99268.28906	23.79441643	99256.39063	7331357.5	73.85397339
4	0.000182832	99244.49219	18.14506531	99235.42188	7232101	72.87155914
5	0.000168694	99226.34375	16.73886871	99217.96875	7132866	71.88480377
6	0.000150391	99209.60156	14.92024326	99202.14063	7033648	70.89685059
7	0.000133912	99194.67969	13.28335571	99188.03906	6934445.5	69.90743256
8	0.000115447	99181.39844	11.4501667	99175.67188	6835257.5	68.91672516
9	9.65604E-05	99169.94531	9.575888634	99165.15625	6736082	67.92462921
10	8.45469E-05	99160.36719	8.383706093	99156.17188	6636917	66.93114471
11	9.16856E-05	99151.98438	9.090808868	99147.4375	6537760.5	65.93675995
12	0.000132086	99142.89063	13.09535789	99136.34375	6438613	64.94276428
13	0.000212954	99129.79688	21.11004066	99119.24219	6339477	63.95127487
14	0.000323309	99108.6875	32.04268265	99092.67188	6240357.5	62.96478653
15	0.000438707	99076.64844	43.46557236	99054.91406	6141265	61.98498917
16	0.000551761	99033.17969	54.64266586	99005.85938	6042210	61.01197433
17	0.000674684	98978.53906	66.77926636	98945.14844	5943204	60.04537964
18	0.000806962	98911.75781	79.81803131	98871.84375	5844259	59.08558273
19	0.000942154	98831.9375	93.11491394	98785.375	5745387	58.13290024
20	0.001084786	98738.82031	107.110527	98685.26563	5646602	57.18725586
21	0.001216125	98631.71094	119.9484634	98571.73438	5547916.5	56.24880981
22	0.001309599	98511.76563	129.0108948	98447.26563	5449345	55.31669235
23	0.00135264	98382.75781	133.0764465	98316.21875	5350897.5	54.38856888
24	0.001358151	98249.67969	133.4378967	98182.96094	5252581.5	53.46156311
25	0.001350512	98116.24219	132.5072021	98049.98438	5154398.5	52.53359222
26	0.001349192	97983.73438	132.1988525	97917.64063	5056348.5	51.60395813
27	0.001353372	97851.53906	132.4295349	97785.32813	4958431	50.67300034
28	0.001370888	97719.10938	133.9619446	97652.125	4860645.5	49.7409935
29	0.001399295	97585.14844	136.550415	97516.875	4762993.5	48.80858994
30	0.001432439	97448.60156	139.5891724	97378.8125	4665476.5	47.87627792
31	0.001464437	97309.01563	142.5028839	97237.76563	4568097.5	46.94423676
32	0.001496385	97166.51563	145.3985291	97093.8125	4470860	46.01235199
33	0.001527583	97021.11719	148.2077942	96947.01563	4373766	45.08055878
34	0.001562911	96872.90625	151.4036865	96797.20313	4276819	44.14876175
35	0.001613002	96721.5	156.0119629	96643.49219	4180021.75	43.21709061
36	0.001681712	96565.48438	162.39534	96484.28125	4083378.25	42.28610611
37	0.001763606	96403.08594	170.0170593	96318.07813	3986894	41.35649872
38	0.001856802	96233.07031	178.68573	96143.72656	3890576	40.42868042
39	0.001963919	96054.38281	188.6430817	95960.0625	3794432.25	39.50295639
40	0.002082883	95865.74219	199.677124	95765.90625	3698472.25	38.5797081
41	0.002227143	95666.0625	213.0620422	95559.53125	3602706.25	37.65918732
42	0.00241377	95453	230.4015808	95337.79688	3507146.75	36.74213409
43	0.002653146	95222.60156	252.6394958	95096.28125	3411809	35.82982254
44	0.002938571	94969.96094	279.0759583	94830.42188	3316712.75	34.92380905
45	0.003243129	94690.88281	307.0947571	94537.33594	3221882.25	34.02526474
46	0.003563474	94383.78906	336.3342285	94215.625	3127345	33.13434601
47	0.003922023	94047.45313	368.8562927	93863.02344	3033129.25	32.25105286
48	0.004320445	93678.59375	404.7332153	93476.22656	2939266.25	31.37607193
49	0.004748757	93273.85938	442.934845	93052.39063	2845790	30.51004791
50	0.005193124	92830.92188	482.082489	92589.875	2752737.75	29.65324211
51	0.005647155	92348.83594	521.5082397	92088.07813	2660147.75	28.80542755
52	0.006121963	91827.32813	562.1635132	91546.25	2568059.75	27.96618271
53	0.00663	91265.16406	605.0880737	90962.625	2476513.5	27.13536453
54	0.007180573	90660.07813	650.991333	90334.57813	2385550.75	26.31313324
55	0.007778682	90009.08594	700.1520386	89659.01563	2295216.25	25.49982834
56	0.008415355	89308.9375	751.5664673	88933.15625	2205557.25	24.69581795
57	0.009073636	88557.36719	803.5372925	88155.59375	2116624	23.9011631
58	0.009726687	87753.82813	853.5540771	87327.04688	2028468.5	23.11544228
59	0.01037056	86900.27344	901.2045288	86449.67188	1941141.375	22.33757591
60	0.011033689	85999.07031	948.8869629	85524.625	1854691.75	21.56641579
61	0.011737976	85050.17969	998.3170166	84551.01563	1769167.125	20.80145073
62	0.012489482	84051.85938	1049.76416	83526.97656	1684616.125	20.04257965
63	0.013334953	83002.09375	1106.828979	82448.67969	1601089.125	19.28974342
64	0.014319387	81895.26563	1172.690063	81308.92188	1518640.5	18.54369164
65	0.015481992	80722.57813	"1,250"	80097.70313	1437331.5	17.80581665
66	0.016824245	79472.82813	"1,337"	78804.29688	1357233.875	17.07796097
67	0.018330468	78135.75781	"1,432"	77419.625	1278429.5	16.36164474
68	0.019900024	76703.49219	"1,526"	75940.29688	1201009.875	15.65782547
69	0.021539303	75177.09375	"1,619"	74367.46094	1125069.625	14.96559048
70	0.023395892	73557.82813	"1,721"	72697.35156	1050702.125	14.28402901
71	0.025476439	71836.875	"1,830"	70921.79688	978004.8125	13.61424541
72	0.027793914	70006.72656	"1,946"	69033.84375	907083	12.9570837
73	0.030349903	68060.96875	"2,066"	67028.14844	838049.125	12.31321144
74	0.033204108	65995.32813	"2,191"	64899.67188	771021	11.68296337
75	0.036344931	63804.01172	"2,319"	62644.53516	706121.3125	11.06703663
76	0.039787535	61485.05859	"2,446"	60261.89063	643476.8125	10.46557999
77	0.043720178	59038.71875	"2,581"	57748.125	583214.9375	9.878516197
78	0.048334949	56457.53516	"2,729"	55093.10156	525466.8125	9.307292938
79	0.053649582	53728.66406	"2,883"	52287.40625	470373.6875	8.754613876
80	0.059565369	50846.14453	"3,029"	49331.8125	418086.2813	8.222576141
81	0.065848231	47817.47656	"3,149"	46243.12891	368754.4688	7.711709023
82	0.072956346	44668.78125	"3,259"	43039.34375	322511.3438	7.220061302
83	0.080740586	41409.91016	"3,343"	39738.17969	279472	6.748915672
84	0.089357063	38066.44922	"3,402"	36365.69531	239733.8125	6.297771931
85	0.099650122	34664.94141	"3,454"	32937.75781	203368.1094	5.866679668
86	0.110901073	31210.57617	"3,461"	29479.93359	170430.3594	5.460660458
87	0.123146445	27749.28906	"3,417"	26040.67578	140950.4219	5.079424381
88	0.136412024	24332.0625	"3,319"	22672.46875	114909.75	4.722565174
89	0.150710359	21012.87695	"3,167"	19429.44922	92237.28125	4.389559746
90	0.166038126	17846.01953	"2,963"	16364.45996	72807.82813	4.079779625
91	0.182373747	14882.90039	"2,714"	13525.77539	56443.37109	3.792498112
92	0.199675545	12168.65039	"2,430"	10953.75977	42917.59375	3.526898384
93	0.217880294	9738.868164	"2,122"	8677.914063	31963.83594	3.282089472
94	0.236902803	7616.960938	"1,804"	6714.721191	23285.92188	3.057114601
95	0.256636381	5812.481445	"1,492"	5066.634277	16571.19922	2.850968122
96	0.276954442	4320.787109	"1,197"	3722.456543	11504.56543	2.662608624
97	0.297713131	3124.125977	930	2659.079346	7782.109375	2.490971804
98	0.31875515	2194.032715	699	1844.353027	5123.029785	2.334983349
