strain	sex	animal_id	age	grip_strength_g
129S1/SvImJ	f	00068B0CE6	6	98
129S1/SvImJ	f	00068B1641	6	102
129S1/SvImJ	f	00068AF233	6	110
129S1/SvImJ	f	00068B27AB	6	112
129S1/SvImJ	f	00068B0443	6	113
129S1/SvImJ	f	00068B1CAD	6	114
129S1/SvImJ	f	00068AFC4F	6	120
129S1/SvImJ	f	00068AF6D7	6	132
129S1/SvImJ	m	00069A1C1F	6	114
129S1/SvImJ	m	00068CFF5C	6	117
129S1/SvImJ	m	00069A2408	6	117
129S1/SvImJ	m	00068CF496	6	118
129S1/SvImJ	m	00069A02E5	6	119
129S1/SvImJ	m	00069A0687	6	127
129S1/SvImJ	m	00069A0692	6	129
A/J	f	00068B2C08	6	108
A/J	f	00068B1801	6	113
A/J	f	00068B24B8	6	115
A/J	f	00068B28B8	6	115
A/J	f	00068B07D0	6	117
A/J	f	00068B206F	6	118
A/J	f	00068B1C33	6	120
A/J	f	00068AFA4E	6	123
A/J	m	SC-7079	6	102
A/J	m	SC-7083	6	104
A/J	m	SC-7086	6	107
A/J	m	SC-7084	6	110
A/J	m	SC-7078	6	111
A/J	m	SC-7081	6	111
A/J	m	SC-7085	6	111
A/J	m	SC-7077	6	113
A/J	m	SC-7080	6	113
A/J	m	SC-7082	6	120
AKR/J	m	00069A0D86	6	94.3
AKR/J	m	00069A0C02	6	111
AKR/J	m	000699FB9B	6	113
AKR/J	m	00069A0AF0	6	114
AKR/J	m	000699FF3B	6	127
AKR/J	m	00069A0C6E	6	128
AKR/J	m	00069A12E3	6	129
AKR/J	m	00069A1C65	6	135
BALB/cByJ	f	00068B0508	6	99.3
BALB/cByJ	f	00068B1D53	6	100
BALB/cByJ	f	00068B0A4C	6	115
BALB/cByJ	f	00068B0D22	6	116
BALB/cByJ	f	00068B2436	6	116
BALB/cByJ	f	00068B260F	6	118
BALB/cByJ	f	00068B0E4D	6	127
BALB/cByJ	f	00068B27B1	6	128
BTBR T+ tf/J	f	00068B0285	6	94.7
BTBR T+ tf/J	f	00068B1031	6	109
BTBR T+ tf/J	f	00068B0528	6	112
BTBR T+ tf/J	f	00068AFE43	6	123
BTBR T+ tf/J	f	00068B0026	6	126
BTBR T+ tf/J	f	00068B1205	6	134
BTBR T+ tf/J	f	00068B1A93	6	134
BTBR T+ tf/J	f	00068AFF44	6	150
BTBR T+ tf/J	m	SC-8410	6	96
BTBR T+ tf/J	m	SC-8407	6	97.7
BTBR T+ tf/J	m	SC-8409	6	100
BTBR T+ tf/J	m	SC-8408	6	103
BTBR T+ tf/J	m	SC-8406	6	104
BTBR T+ tf/J	m	00068AFA3B	6	105
BTBR T+ tf/J	m	00068B1986	6	130
BTBR T+ tf/J	m	00068B1B18	6	131
BTBR T+ tf/J	m	00068B1E2C	6	151
BUB/BnJ	f	SC-7688	6	116
BUB/BnJ	f	SC-7687	6	120
BUB/BnJ	f	SC-7693	6	141
BUB/BnJ	f	SC-7694	6	141
BUB/BnJ	f	SC-7692	6	148
BUB/BnJ	f	SC-7691	6	152
BUB/BnJ	m	SC-5923	6	111
BUB/BnJ	m	SC-5926	6	114
BUB/BnJ	m	SC-5925	6	128
BUB/BnJ	m	SC-5921	6	129
BUB/BnJ	m	SC-5922	6	147
BUB/BnJ	m	SC-5924	6	158
C3H/HeJ	f	00068B143D	6	88.3
C3H/HeJ	f	00068B0303	6	93.3
C3H/HeJ	f	00068B1ED4	6	100
C3H/HeJ	f	00068B20CD	6	110
C3H/HeJ	f	00068B09E6	6	115
C3H/HeJ	f	00068B1E00	6	115
