strain	sex	animal_id	lifespan_days	censor
129S1/SvImJ	f	1	616	0
129S1/SvImJ	f	2	763	0
129S1/SvImJ	f	3	770	0
129S1/SvImJ	f	4	987	0
129S1/SvImJ	f	00068AF233	673	0
129S1/SvImJ	f	00068af31a	920	0
129S1/SvImJ	f	00068af597	680	0
129S1/SvImJ	f	00068AF6D7	483	0
129S1/SvImJ	f	00068afa62	821	0
129S1/SvImJ	f	00068afc4f	938	0
129S1/SvImJ	f	00068afc99	763	0
129S1/SvImJ	f	00068afed4	757	0
129S1/SvImJ	f	00068b0161	1099	0
129S1/SvImJ	f	00068b035d	869	0
129S1/SvImJ	f	00068b040f	637	0
129S1/SvImJ	f	00068B0443	651	0
129S1/SvImJ	f	00068B0CE6	1014	0
129S1/SvImJ	f	00068b1045	791	0
129S1/SvImJ	f	00068b105e	658	0
129S1/SvImJ	f	00068B1641	1014	0
129S1/SvImJ	f	00068b176e	576	0
129S1/SvImJ	f	00068b1871	729	0
129S1/SvImJ	f	00068B1CAD	518	0
129S1/SvImJ	f	00068b2073	897	0
129S1/SvImJ	f	00068b2098	819	0
129S1/SvImJ	f	00068b20a5	925	0
129S1/SvImJ	f	00068b26ed	547	0
129S1/SvImJ	f	00068B27AB	673	0
129S1/SvImJ	f	000699FEF2	861	0
129S1/SvImJ	f	00069A25E0	980	0
129S1/SvImJ	f	00069A2C42	938	0
129S1/SvImJ	f	00069A2FBE	830	0
129S1/SvImJ	m	87	708	0
129S1/SvImJ	m	88	717	0
129S1/SvImJ	m	89	857	0
129S1/SvImJ	m	90	1102	0
129S1/SvImJ	m	91	959	0
129S1/SvImJ	m	92	1021	0
129S1/SvImJ	m	93	1029	0
129S1/SvImJ	m	94	1050	0
129S1/SvImJ	m	00068AF16E	917	0
129S1/SvImJ	m	00068AF1B9	882	0
129S1/SvImJ	m	00068af2fc	798	0
129S1/SvImJ	m	00068AF575	925	0
129S1/SvImJ	m	00068AF614	919	0
129S1/SvImJ	m	00068af6c6	842	0
129S1/SvImJ	m	00068AFCAC	992	0
129S1/SvImJ	m	00068AFE5D	914	0
129S1/SvImJ	m	00068b072b	812	0
129S1/SvImJ	m	00068b07d5	1000	0
129S1/SvImJ	m	00068b0a37	1043	0
129S1/SvImJ	m	00068b0f14	708	0
