strain	sex	animal_id	age	serum_BUN_mg-dL	serum_albumin_g-dL
129S1/SvImJ	f	00068AF31A	6	20	3.5
129S1/SvImJ	f	00068AFC99	6	20	3.5
129S1/SvImJ	f	00068B0161	6	19	3.8
129S1/SvImJ	f	00068B040F	6	22	3.4
129S1/SvImJ	f	00068B1045	6	19	3.5
129S1/SvImJ	f	00068B2073	6	21	3.4
129S1/SvImJ	f	00068B20A5	6	19	3.6
129S1/SvImJ	f	00068B26ED	6	18	3.8
129S1/SvImJ	m	00068AF16E	6	20	3.8
129S1/SvImJ	m	00068AF1B9	6	29	3.5
129S1/SvImJ	m	00068AF575	6	25	3.9
129S1/SvImJ	m	00068AF614	6	23	4
129S1/SvImJ	m	00068AFCAC	6	25	3.4
129S1/SvImJ	m	00068AFE5D	6	26	3.7
129S1/SvImJ	m	00068B0F1C	6	25	3.9
129S1/SvImJ	m	00068B1E9D	6	26	3.7
A/J	f	00068AF558	6	19	3.9
A/J	f	00068AF853	6	19	3.9
A/J	f	00068AFF87	6	19	4.1
A/J	f	00068B0BF3	6	20	4
A/J	f	00068B28EC	6	19	4.1
A/J	f	00068CF93C	6	20	4.2
A/J	f	SC-72	6	19	4
A/J	m	00068B0ABE	6	23	4.1
A/J	m	00068B163A	6	25	3.7
A/J	m	00068B169A	6	24	3.9
A/J	m	00068B1D42	6	31	4
A/J	m	00068B1E13	6	24	3.9
A/J	m	00068B204D	6	27	3.6
A/J	m	00068B21E0	6	28	3.8
A/J	m	00068B25A3	6	29	3.9
AKR/J	f	00068AFE2F	6	21	4.2
AKR/J	f	00068B0653	6	19	3.9
AKR/J	f	00068B0D99	6	21	4.2
AKR/J	f	00068B193E	6	24	4.1
AKR/J	f	00068B244E	6	NA	4
AKR/J	f	00068B2678	6	23	4.1
AKR/J	f	00068B2898	6	21	4
AKR/J	f	SC-2	6	NA	NA
BALB/cByJ	f	00068AF298	6	32	2.7
BALB/cByJ	f	00068B07CD	6	20	2.8
BALB/cByJ	f	00068B0FF6	6	28	2.9
BALB/cByJ	f	00068B16B9	6	23	2.8
BALB/cByJ	f	00068B1C69	6	24	3
BALB/cByJ	f	00068B1DB8	6	23	2.7
BALB/cByJ	f	00068B1E11	6	23	2.8
BALB/cByJ	f	00068B2089	6	24	2.8
BALB/cByJ	m	00069a03ca	6	22	2.7
BALB/cByJ	m	00069a0ff7	6	24	2.6
BALB/cByJ	m	00069a1eb8	6	22	2.9
BALB/cByJ	m	00069a2a33	6	16	2.7
BALB/cByJ	m	00069a2e46	6	21	2.7
BALB/cByJ	m	00069a2f5e	6	19	2.6
BALB/cByJ	m	00069a3047	6	24	2.8
BALB/cByJ	m	SC-1048	6	29	2.8
BTBR T+ tf/J	f	00068AFC75	6	20	4.2
BTBR T+ tf/J	f	00068AFCEB	6	19	4.3
BTBR T+ tf/J	f	00068B0C00	6	23	4.2
BTBR T+ tf/J	f	00068B1279	6	21	4.3
BTBR T+ tf/J	f	00068B25EA	6	21	4.1
BTBR T+ tf/J	f	00068B263E	6	15	4.2
BTBR T+ tf/J	f	00068B27B6	6	21	4.3
BTBR T+ tf/J	f	SC-173	6	23	4.3
BTBR T+ tf/J	m	00068AF4A5	6	23	3.6
BTBR T+ tf/J	m	00068AFE83	6	25	3.9
BTBR T+ tf/J	m	00068B048F	6	28	3.9
BTBR T+ tf/J	m	00068B0606	6	25	4
BTBR T+ tf/J	m	00068B07F2	6	25	4.1
BTBR T+ tf/J	m	00068B1432	6	24	3.9
BTBR T+ tf/J	m	00068B1486	6	24	3.6
BTBR T+ tf/J	m	00068B2373	6	25	3.8
BUB/BnJ	f	00068AFA84	6	20	4.2
BUB/BnJ	f	00068B0413	6	NA	4
BUB/BnJ	f	00068B05AC	6	33	3.9
BUB/BnJ	f	00068B08A0	6	22	4
BUB/BnJ	f	00068B186E	6	19	4.4
BUB/BnJ	f	00068B1907	6	23	4
BUB/BnJ	f	00068B1E14	6	22	4.1
BUB/BnJ	f	00068B2965	6	30	3.9
BUB/BnJ	m	00068AF246	6	23	3.8
BUB/BnJ	m	00068AF4AE	6	34	3.9
BUB/BnJ	m	00068AF767	6	30	3.8
BUB/BnJ	m	00068AFCC3	6	29	3.8
BUB/BnJ	m	00068B0CD2	6	28	3.9
BUB/BnJ	m	00068B1EC2	6	37	3.8
BUB/BnJ	m	00069a201b	6	26	3.2
BUB/BnJ	m	00069a24e6	6	29	3.6
C3H/HeJ	f	00068B0130	6	16	3.8
C3H/HeJ	f	00068B0615	6	20	3.7
C3H/HeJ	f	00068B09BE	6	18	3.8
C3H/HeJ	f	00068B0B7C	6	21	3.8
C3H/HeJ	f	00068B1241	6	19	3.8
C3H/HeJ	f	00068B12C0	6	23	3.9
C3H/HeJ	f	00068B17FE	6	20	3.7
C3H/HeJ	f	00068B298D	6	20	3.7
C3H/HeJ	m	00068AF01D	6	21	3.5
C3H/HeJ	m	00068AF22A	6	22	3.6
C3H/HeJ	m	00068AF497	6	21	3.9
C3H/HeJ	m	00068AF663	6	20	3.5
C3H/HeJ	m	00068AF725	6	21	3.4
C3H/HeJ	m	00068AF910	6	18	3.7
C3H/HeJ	m	00068AFC39	6	22	3.6
C3H/HeJ	m	00068B0272	6	20	4.1
C3H/HeJ	m	00068B089B	6	16	3.7
C3H/HeJ	m	00068B09B0	6	21	3.5
C3H/HeJ	m	00068B0A7B	6	20	3.6
C3H/HeJ	m	00068B1521	6	20	3.2
C3H/HeJ	m	00068B1A2F	6	24	3.5
C3H/HeJ	m	00068B23CE	6	29	3.4
C3H/HeJ	m	00068B26C5	6	18	3.5
C3H/HeJ	m	00068B2765	6	25	3.5
C57BL/10J	f	00068AF559	6	29	4.1
C57BL/10J	f	00068AF9BD	6	27	4
C57BL/10J	f	00068B01C0	6	21	4.3
C57BL/10J	f	00068B0532	6	32	4
C57BL/10J	f	00068B0FB0	6	23	4.1
C57BL/10J	f	00068B2A40	6	21	4.2
C57BL/10J	m	00068B003F	6	28	3.8
C57BL/10J	m	00068B0959	6	29	3.8
C57BL/10J	m	00068B0A11	6	26	3.8
C57BL/10J	m	00068B0C68	6	29	3.9
C57BL/10J	m	00068B0E8A	6	29	3.7
C57BL/10J	m	00068B11C6	6	27	3.8
C57BL/10J	m	00068B129C	6	29	3.7
C57BL/10J	m	00068B194B	6	30	3.8
C57BL/6J	f	00069A028F	6	31	3
C57BL/6J	f	00069A15BE	6	28	2.9
C57BL/6J	f	00069A1B35	6	27	3
C57BL/6J	f	00069A2FE2	6	25	3
C57BL/6J	m	00068B092C	6	33	3.5
C57BLKS/J	f	000699fc07	6	22	2.7
C57BLKS/J	f	000699fcc9	6	19	2.9
C57BLKS/J	f	00069a0932	6	21	3
C57BLKS/J	f	00069a19bb	6	18	2.9
C57BLKS/J	f	00069a238d	6	24	2.8
C57BLKS/J	f	00069a2637	6	33	3
C57BLKS/J	f	00069a29b5	6	26	2.9
C57BLKS/J	f	00069a3001	6	26	2.9
C57BLKS/J	m	00068AF5E3	6	19	3.9
C57BLKS/J	m	00068B0674	6	21	3.8
C57BLKS/J	m	00068B091E	6	22	3.7
C57BLKS/J	m	00068B0E87	6	30	3.6
C57BLKS/J	m	00068B1DF0	6	17	3.7
C57BLKS/J	m	00068B220B	6	23	3.7
C57BLKS/J	m	00068B245E	6	18	3.9
C57BR/cdJ	f	00068CD417	6	22	4.1
C57BR/cdJ	f	00068CDAD3	6	26	4.1
C57BR/cdJ	f	00068CDBDE	6	21	4.1
C57BR/cdJ	f	00068CE096	6	21	3.9
C57BR/cdJ	f	00068D05A7	6	17	4.1
C57BR/cdJ	f	00068D09FA	6	21	4.1
C57BR/cdJ	f	00068D190B	6	21	4.2
C57BR/cdJ	f	00068D46BB	6	17	4
C57BR/cdJ	m	00068AF200	6	23	4.2
C57BR/cdJ	m	00068AFEBD	6	22	4.1
C57BR/cdJ	m	00068AFFFD	6	23	3.8
C57BR/cdJ	m	00068B0152	6	21	4.2
C57BR/cdJ	m	00068B086C	6	23	3.8
C57BR/cdJ	m	00068B14AB	6	23	4
C57BR/cdJ	m	00068B2080	6	20	4.1
C57BR/cdJ	m	00068B2A55	6	19	3.7
CAST/EiJ	f	SC-6326	6	34	3.7
CAST/EiJ	f	SC-6327	6	34	3.6
CAST/EiJ	f	SC-8936	6	21	3.4
CAST/EiJ	f	SC-8937	6	16	2.8
CAST/EiJ	f	SC-8938	6	19	3.1
CBA/J	m	00068AF72D	6	18	3.7
CBA/J	m	00068AFFCC	6	19	3.6
CBA/J	m	00068B02CF	6	20	3.5
CBA/J	m	00068B11F4	6	20	4
CBA/J	m	00068B17C1	6	21	3.6
CBA/J	m	00068B1CFB	6	19	3.6
CBA/J	m	00068B1E79	6	19	3.6
CBA/J	m	00068B29B3	6	19	3.6
DBA/2J	f	00068AF106	6	23	3.7
DBA/2J	f	00068AF1DF	6	22	3.6
DBA/2J	f	00068AF411	6	23	3.7
DBA/2J	f	00068AFAF3	6	25	3.6
DBA/2J	f	00068AFB73	6	23	3.7
DBA/2J	f	00068AFD71	6	20	3.7
DBA/2J	f	00068B047E	6	24	3.6
DBA/2J	f	00068B09A9	6	23	3.5
DBA/2J	m	00068CDC48	6	31	3.7
DBA/2J	m	00068CFB0D	6	30	3.7
DBA/2J	m	00068CFD22	6	21	3.6
DBA/2J	m	000699FA1D	6	34	3.5
DBA/2J	m	00069A15CD	6	32	3.6
DBA/2J	m	00069A15F2	6	25	3.9
DBA/2J	m	SC-251	6	23	3.7
FVB/NJ	f	00068CE30D	6	30	3.8
FVB/NJ	f	00068CE99D	6	25	3.8
FVB/NJ	f	00068CF60F	6	26	3.7
FVB/NJ	f	00068CFAE3	6	30	4.1
FVB/NJ	f	00068D020A	6	30	3.6
FVB/NJ	f	00068D0EB0	6	32	3.9
FVB/NJ	f	00068D4303	6	25	3.9
FVB/NJ	f	SC-61	6	30	3.8
FVB/NJ	m	00068AF262	6	20	3.5
FVB/NJ	m	00068AFD00	6	25	3.6
FVB/NJ	m	00068B0D1E	6	26	3.5
FVB/NJ	m	00068B0D90	6	24	3.4
FVB/NJ	m	00068B1963	6	24	3.5
FVB/NJ	m	00068B1AF6	6	22	3.7
FVB/NJ	m	00068B1EF1	6	27	3.3
KK/HlJ	f	00068AF334	6	17	4
KK/HlJ	f	00068AFE4A	6	17	2.4
KK/HlJ	f	00068B00ED	6	20	2.7
KK/HlJ	f	00068B07F0	6	19	4.2
KK/HlJ	f	00068B08E1	6	20	2.7
KK/HlJ	f	00068B0C94	6	20	3.7
KK/HlJ	f	00068B1097	6	22	3.9
KK/HlJ	f	00068B1CC1	6	22	2.7
LP/J	f	00068B1EEB	6	27	4
LP/J	f	00068CEA71	6	25	2.9
LP/J	f	00068CF0D4	6	20	2.9
LP/J	f	00068CF39F	6	23	2.7
LP/J	f	SC-607	6	24	2.7
LP/J	m	00068AF45C	6	19	3.6
LP/J	m	00068B1153	6	17	3.6
LP/J	m	00068B2948	6	19	3.4
